"./dor_2_wat_retry_3.out"
Atom,QA
"0 C",0.1160
"1 C",0.8945
"2 C",0.6175
"3 H",-0.0995
"4 H",-0.0867
"5 H",-0.3031
"6 O",-1.0022
"7 O",-0.7316
"8 O",-0.5799
"9 H",0.1780
"10 O",-0.3093
"11 H",0.0633
"12 H",0.2682
"13 O",-0.3534
"14 H",0.1128
"15 H",0.2154



"./hm_opt_2_wat.out"
Atom,QA
"0 C",0.1115
"1 C",0.8973
"2 C",0.6186
"3 H",-0.1021
"4 H",-0.0850
"5 H",-0.3013
"6 O",-1.0001
"7 O",-0.7315
"8 O",-0.5799
"9 H",0.1780
"10 O",-0.3536
"11 H",0.1128
"12 H",0.2154
"13 O",-0.3102
"14 H",0.0655
"15 H",0.2648



"./non_2_wat_1.out"
Atom,QA
"0 C",-0.0498
"1 C",1.0194
"2 C",0.6334
"3 H",-0.1125
"4 H",-0.1175
"5 H",-0.3370
"6 O",-0.8234
"7 O",-0.7919
"8 O",-0.5546
"9 H",0.1292
"10 O",-0.3416
"11 H",0.2228
"12 H",0.1153
"13 O",-0.3518
"14 H",0.2675
"15 H",0.0926



"./non_2_wat_2.out"
Atom,QA
"0 C",-0.0491
"1 C",1.0200
"2 C",0.6331
"3 H",-0.1126
"4 H",-0.1176
"5 H",-0.3372
"6 O",-0.8238
"7 O",-0.7917
"8 O",-0.5552
"9 H",0.1292
"10 O",-0.3420
"11 H",0.2246
"12 H",0.1143
"13 O",-0.3535
"14 H",0.2684
"15 H",0.0930



"./vaz_2_wat.out"
Atom,QA
"0 C",0.2000
"1 C",0.7905
"2 C",0.6419
"3 H",-0.1045
"4 H",-0.1193
"5 H",-0.3201
"6 O",-0.9950
"7 O",-0.6572
"8 O",-0.5435
"9 H",0.1516
"10 O",-0.2942
"11 H",0.0781
"12 H",0.2185
"13 O",-0.4972
"14 H",0.3140
"15 H",0.1366



"./vaz_non_2_wat.out"
Atom,QA
"0 C",-0.0619
"1 C",0.9799
"2 C",0.6926
"3 H",-0.1103
"4 H",-0.1221
"5 H",-0.3663
"6 O",-0.7554
"7 O",-0.8422
"8 O",-0.5285
"9 H",0.1150
"10 O",-0.3583
"11 H",0.1220
"12 H",0.2448
"13 O",-0.3553
"14 H",0.1339
"15 H",0.2121



